gene	isoform_id	transcript_id	GABA_pct	GABA_mean	other_pct	other_mean	logFC	n_GABA_detected	GABA_1_pct	GABA_1_mean	GABA_2_pct	GABA_2_mean	editsC_GABA_mean	editsC_GABA_pct	editsC_is_translated	DE_baseMean	DE_log2FC	DE_lfcSE	DE_stat	DE_pvalue	DE_padj	biotype	go_bp	syngo_quick
Dpp10	Dpp10-201	ENSMUST00000112603	10.1190476190476	0.701166216755674	0.113169337065936	0.00816571874662678	6.42385819026029	102	17.6610978520286	1.17315554241152	4.75382003395586	0.365404710049736	2.91078221414443e-05	2.18253968253968	FALSE	55.8241017170302	6.02723136182747	0.988889435383542	6.09494969423938	1.09471871862651e-09	1.12746813655955e-06	protein_coding	proteolysis; positive regulation of protein localization to plasma membrane	FALSE
Cit	Cit-201	ENSMUST00000051704	19.1468253968254	1.38566589721311	0.279945202215737	0.0203452384829844	6.08967457659091	193	26.9689737470167	1.85083852828765	13.5823429541596	1.05475361806161	7.52828130720389e-06	1.78571428571429	FALSE	110.889085275574	5.1100961414793	1.05382114143094	4.84911142942198	1.24015745335734e-06	0.000515492114778866	protein_coding	protein phosphorylation; mitotic cytokinesis; regulation of cellular component size	FALSE
Slc17a6	Slc17a6-201	ENSMUST00000032710	14.3849206349206	1.06157657853665	0.250163797724701	0.0174893684386441	5.92350531463051	145	31.5035799522673	2.31751359510681	2.20713073005093	0.168134116833933	3.00949484200967e-05	1.68650793650794	FALSE	83.527528916228	5.53454886254481	1.66378072394066	3.32648935217632	0.00087947379873456	0.0488258553126231	protein_coding	transmembrane transport; monoatomic ion transport; chloride transmembrane transport	TRUE
C130073E24Rik	C130073E24Rik-201	ENSMUST00000210222	10.7142857142857	0.78006657433963	0.196557269640836	0.0142205672738925	5.77744673504445	108	11.9331742243437	0.795276770971007	9.8471986417657	0.769246417483014	3.86573241451989e-06	0.694444444444445	FALSE	63.7753358736577	5.30789329702054	2.02847752160238	2.61668825042124	0.00887873905890971	0.169002204794119	lincRNA	biological_process	FALSE
Slc32a1	Slc32a1-201	ENSMUST00000045738	17.5595238095238	1.39821863705437	0.345464292096015	0.0257883888142823	5.76066960875496	177	31.9809069212411	2.57095924121639	7.30050933786078	0.563960040884781	0.000188074122013292	9.72222222222222	TRUE	139.039310854982	5.18191164597953	0.68007277502024	7.61964283282081	2.54378592518922e-14	5.1546642041553e-11	protein_coding	proton transmembrane transport; neurotransmitter transport; glycine transport	TRUE
Gad2	Gad2-201	ENSMUST00000028123	23.5119047619048	1.82276509852457	0.500327595449401	0.0371030550386724	5.61840876799837	237	26.7303102625298	2.00012832666901	21.2224108658744	1.69659329446257	0.000237556560849792	11.5079365079365	TRUE	176.546515396474	5.214037664326	0.601813154297074	8.66388118487716	4.55968609081566e-18	1.56572844273112e-14	protein_coding	carboxylic acid metabolic process; gamma-aminobutyric acid biosynthetic process; gamma-aminobutyrate shunt	TRUE
Unc5d	Unc5d-201	ENSMUST00000168630	11.5079365079365	0.830087001644669	0.35737685389243	0.0261320076438618	4.98931921276977	116	16.4677804295943	1.12801732005871	7.97962648556876	0.618146758154889	4.0211861836851e-05	2.48015873015873	FALSE	94.5103571880146	4.11294373468506	1.39846959793	2.94103192573724	0.00327120816776728	0.099229907166962	protein_coding	signal transduction; apoptotic process; axon guidance	FALSE
Col25a1	Col25a1-202	ENSMUST00000106353	16.6666666666667	1.20897891127927	0.625409494311752	0.0449688678467592	4.74868781801364	168	22.4343675417661	1.54887848933821	12.5636672325976	0.967182776802704	4.52124780532567e-05	4.36507936507936	FALSE	118.999166514906	3.90557245493969	1.24320158738739	3.1415439736908	0.00168059569739641	0.067836962267549	protein_coding	axonogenesis involved in innervation	FALSE
Maf	Maf-202	ENSMUST00000109104	11.3095238095238	0.836364650806487	0.476502471856573	0.0340751683327189	4.6172987851366	114	11.2171837708831	0.759176880136569	11.3752122241087	0.891274117547906	2.07817689087788e-05	1.58730158730159	FALSE	82.3586073610248	4.55797950257769	1.21231237084542	3.75974015624301	0.000170089929746718	0.0183242027509098	protein_coding	regulation of DNA-templated transcription; in utero embryonic development; gene expression	FALSE
Kcnc1	Kcnc1-203	ENSMUST00000160433	25.0992063492064	1.85714098091143	1.96557269640836	0.144072913134278	3.68820307392934	253	33.4128878281623	2.35119400850383	19.1850594227504	1.50568390355793	1.40601010956349e-05	3.27380952380952	FALSE	278.026077420832	2.83770624493468	1.09367122051658	2.59466116662951	0.0094684210528186	0.172918567914731	protein_coding	monoatomic ion transport; transmembrane transport; potassium ion transport	FALSE
Rasgrf2	Rasgrf2-205	ENSMUST00000151408	12.6984126984127	0.937598297750029	1.17934361784502	0.087833552667195	3.41611100018756	128	15.2744630071599	1.0445092101291	10.8658743633277	0.861544524767297	2.66069377487487e-05	1.09126984126984	FALSE	145.352072289072	2.96033204961704	1.14638299803021	2.58232375628711	0.00981374729649769	0.174632993878731	protein_coding	small GTPase-mediated signal transduction; long-term synaptic potentiation; Ras protein signal transduction	FALSE
Mirg	Mirg-201	ENSMUST00000181496	10.218253968254	0.735740526167731	1.0006551908988	0.0708506955563713	3.37632473726539	103	13.8424821002387	0.930253341362463	7.64006791171477	0.59736893097827	2.47351848066347e-05	0.595238095238095	FALSE	113.134421179826	2.58536461887932	1.93480637103145	1.3362394591977	0.181471017444002	0.630616648185363	lincRNA	miRNA-mediated post-transcriptional gene silencing; chromatin organization	FALSE
Scn1a	Scn1a-205	ENSMUST00000129508	11.5079365079365	0.801051217219055	1.10786824706653	0.0772614730123329	3.37405652779779	116	19.8090692124105	1.33698711600642	5.60271646859083	0.419799703480671	1.516313761102e-05	0.595238095238095	FALSE	120.979878230608	2.58219803146118	1.94148975943474	1.33000857661643	0.18351544549798	0.63432172430016	retained_intron	transmembrane transport; monoatomic ion transport; sodium ion transport	FALSE
Peg3	Peg3-204	ENSMUST00000155910	29.3650793650794	2.12084421642092	2.88879623563047	0.206711633515514	3.35894086512192	296	42.9594272076372	2.97831624009776	19.6943972835314	1.51085987360156	3.23429778075908e-05	2.28174603174603	FALSE	305.202070976027	2.84273428687574	0.750698156453885	3.78678735579174	0.000152607590942295	0.0177253581934161	retained_intron	positive regulation of transcription by RNA polymerase II; regulation of gene expression; negative regulation of transcription by RNA polymerase II	FALSE
Spock1	Spock1-202	ENSMUST00000185502	13.5912698412698	0.942196386548117	1.32229435940199	0.0926617973463293	3.34596718941723	137	25.2983293556086	1.70487623934271	5.26315789473684	0.399644844407314	0.000182468616941315	4.36507936507936	FALSE	166.961985612577	2.26015537659088	1.45200467227074	1.55657582909585	0.119571226204204	0.53789439152122	protein_coding	negative regulation of cell-substrate adhesion; negative regulation of neuron projection development	FALSE
5330434G04Rik	5330434G04Rik-204	ENSMUST00000150604	14.0873015873016	1.00007035860154	1.4175948537733	0.0996071876449713	3.32769480024685	142	21.0023866348449	1.41412356470536	9.16808149405773	0.705523171237364	2.1903811157473e-05	0.892857142857143	FALSE	141.943669718129	2.97141541325964	1.33774134161929	2.22121819877588	0.0263361861596571	0.289841082032723	lincRNA		FALSE
Zmat4	Zmat4-207	ENSMUST00000208021	11.2103174603175	0.80314872831271	1.13169337065936	0.0807990602629877	3.31324069516594	113	16.7064439140811	1.14491735462175	7.30050933786078	0.560022999240574	1.64834373521462e-05	0.694444444444445	FALSE	111.599994876693	3.03995082387359	2.23124843944638	1.36244389917775	0.173057837596699	0.619439303440073	retained_intron		FALSE
Tmem130	Tmem130-201	ENSMUST00000061446	23.3134920634921	1.71013391802707	2.48376913455239	0.174404771250336	3.29359046229117	235	38.9021479713604	2.7655866826321	12.2241086587436	0.959310983613639	6.04248067217336e-05	3.07539682539683	FALSE	247.753643495906	2.71811551951538	1.20662529238648	2.25265916160223	0.0242806477556178	0.279779129291878	protein_coding	biological_process	FALSE
Ube3a	Ube3a-216	ENSMUST00000202945	10.8134920634921	0.779517328195996	1.11978080886295	0.0818467546407269	3.25156819988948	109	11.4558472553699	0.760345287553494	10.3565365025467	0.793155842676826	3.23902015180165e-06	0.396825396825397	FALSE	132.945257670056	2.13227845262766	1.17854915459064	1.80924015287958	0.0704137021116372	0.433691688803857	protein_coding	ubiquitin-dependent protein catabolic process; protein polyubiquitination; positive regulation of transcription by RNA polymerase II	FALSE
Ntng1	Ntng1-208	ENSMUST00000133268	16.3690476190476	1.24748915716376	1.78688426946215	0.134694434726778	3.21125557354203	165	24.1050119331742	1.80241317639613	10.8658743633277	0.852729965214077	1.07074377412473e-05	1.28968253968254	FALSE	167.930115005191	2.26545269264391	1.51451889193271	1.49582333024115	0.134699699984269	0.568058490230227	protein_coding	nervous system development; cell differentiation; regulation of neuron projection development	FALSE
